aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
category,shoes,clip_image,ndcg_at_1,0.03,0.009900990099009901,0.05527638190954774,200,192
category,shoes,clip_image,ndcg_at_5,0.06966241679685392,0.041998862504074426,0.10059163120252977,200,192
category,shoes,clip_image,ndcg_at_10,0.0944812231216303,0.0640219865662664,0.12631047983546043,200,192
category,shoes,clip_image,mrr,0.09300194574774061,0.06939824507915407,0.11989247061698424,200,192
category,tops,clip_image,hr_at_1,0.035,0.014186303387334745,0.06342240554758477,200,192
category,tops,clip_image,hr_at_5,0.145,0.09900990099009901,0.19597989949748743,200,192
category,tops,clip_image,hr_at_10,0.245,0.18686868686868688,0.30612244897959184,200,192
category,tops,clip_image,ndcg_at_1,0.035,0.01015228426395939,0.061224489795918366,200,192
category,tops,clip_image,ndcg_at_5,0.08801824355271874,0.05699285816572405,0.12234220157310567,200,192
category,tops,clip_image,ndcg_at_10,0.11957265068040533,0.08763888404433295,0.15646469552299871,200,192
category,tops,clip_image,mrr,0.10348444838015478,0.07680025077078198,0.13317894328648394,200,192
category_macro,all,clip_image,hr_at_1,0.032,0.021177535496298014,0.04391342484139071,1000,734
category_macro,all,clip_image,hr_at_5,0.126,0.10573572421834737,0.14763177305010758,1000,734
category_macro,all,clip_image,hr_at_10,0.22000000000000003,0.19381791775591578,0.24806690384198207,1000,734
category_macro,all,clip_image,ndcg_at_1,0.032,0.021177535496298014,0.04391342484139071,1000,734
category_macro,all,clip_image,ndcg_at_5,0.07852074938320393,0.06457415201889395,0.09348198066687394,1000,734
category_macro,all,clip_image,ndcg_at_10,0.10897570059915822,0.09400568974709403,0.12466165452398735,1000,734
category_macro,all,clip_image,mrr,0.09960057283269613,0.08766042482538043,0.11266900586120714,1000,734
micro,all,clip_text,hr_at_1,0.035,0.02323168392788646,0.047857337947842284,1000,734
micro,all,clip_text,hr_at_5,0.138,0.11475369298373628,0.16141885474432424,1000,734
micro,all,clip_text,hr_at_10,0.212,0.18407960199004975,0.24000102145045962,1000,734
micro,all,clip_text,ndcg_at_1,0.035,0.02293063538468261,0.04801705241667819,1000,734
micro,all,clip_text,ndcg_at_5,0.08633595657276484,0.07080480408405503,0.10314860389223392,1000,734
micro,all,clip_text,ndcg_at_10,0.10953596596739301,0.09318234628312592,0.12710423060901646,1000,734
micro,all,clip_text,mrr,0.10086538504626111,0.08691148151171046,0.11602312260627683,1000,734
category,bags,clip_text,hr_at_1,0.035,0.010309278350515464,0.06310679611650485,200,186
category,bags,clip_text,hr_at_5,0.12,0.07653061224489796,0.1666871921182263,200,186
category,bags,clip_text,hr_at_10,0.185,0.13366336633663367,0.2385843624517008,200,186
category,bags,clip_text,ndcg_at_1,0.035,0.010416666666666666,0.0631643132220795,200,186
category,bags,clip_text,ndcg_at_5,0.0773429498996394,0.04694487883238784,0.10989775510560648,200,186
category,bags,clip_text,ndcg_at_10,0.0983906903771366,0.06766818116514203,0.13130906373649767,200,186
category,bags,clip_text,mrr,0.09486193656262493,0.06977991671052425,0.1231968283385116,200,186
category,bottoms,clip_text,hr_at_1,0.04,0.015,0.0707070707070707,200,188
category,bottoms,clip_text,hr_at_5,0.125,0.08080808080808081,0.17258883248730963,200,188
category,bottoms,clip_text,hr_at_10,0.21,0.155,0.26903553299492383,200,188
category,bottoms,clip_text,ndcg_at_1,0.04,0.015,0.06896551724137931,200,188
category,bottoms,clip_text,ndcg_at_5,0.08142788923145357,0.05012501077617994,0.11523783484607504,200,188
category,bottoms,clip_text,ndcg_at_10,0.10822001379663135,0.07692966101453234,0.14392729420260236,200,188
