metric,paired_cases,no_rag_mean,rule_rag_mean,difference,ci_low,ci_high
exact_rate,1488,0.04886145793532767,0.5022254776287034,0.45336401969337575,0.4343863054297875,0.4720823157350752
kb_rate,1488,0.053255678559386996,0.5045810950548854,0.4513254164954983,0.4325951483127675,0.4698519028693593
uifr,65,0.41410256410256413,0.2679487179487179,-0.14615384615384616,-0.27307692307692305,-0.024358974358974366
trace_per100,1488,0.5029018151458194,4.8100290615883905,4.307127246442571,4.0875727388427165,4.527098661708492
