aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
category,bags,clip_text,ndcg_at_1,0.035,0.010256410256410256,0.06282722513089005,200,186
category,bags,clip_text,ndcg_at_5,0.05377071188430579,0.02816703640151611,0.08377524162037298,200,186
category,bags,clip_text,ndcg_at_10,0.07677368341294705,0.049557552367207484,0.10708697188233667,200,186
category,bags,clip_text,mrr,0.08323520801497544,0.05843279960177678,0.11220989834785013,200,186
category,bottoms,clip_text,hr_at_1,0.025,0.005050505050505051,0.04950495049504951,200,188
category,bottoms,clip_text,hr_at_5,0.095,0.057971014492753624,0.13705583756345177,200,188
category,bottoms,clip_text,hr_at_10,0.175,0.125,0.2307788944723617,200,188
category,bottoms,clip_text,ndcg_at_1,0.025,0.005025125628140704,0.04854368932038835,200,188
category,bottoms,clip_text,ndcg_at_5,0.056359624688335795,0.032139262061776044,0.08333851944601552,200,188
category,bottoms,clip_text,ndcg_at_10,0.08179127795479,0.055299817127907915,0.10961088071687883,200,188
category,bottoms,clip_text,mrr,0.08165958273367012,0.059458121369724774,0.10703547266044164,200,188
category,outerwear,clip_text,hr_at_1,0.03,0.009900990099009901,0.05527638190954774,200,179
category,outerwear,clip_text,hr_at_5,0.12,0.07614213197969544,0.1683673469387755,200,179
category,outerwear,clip_text,hr_at_10,0.18,0.12755102040816327,0.23529411764705882,200,179
category,outerwear,clip_text,ndcg_at_1,0.03,0.009900990099009901,0.05472636815920398,200,179
category,outerwear,clip_text,ndcg_at_5,0.0741883011317821,0.04643959656941736,0.10562509754270083,200,179
category,outerwear,clip_text,ndcg_at_10,0.09493776119026016,0.06472557629668128,0.12784228521404123,200,179
category,outerwear,clip_text,mrr,0.09286947621165821,0.06964877711775325,0.12017677214291116,200,179
category,shoes,clip_text,hr_at_1,0.035,0.01015228426395939,0.0625,200,192
category,shoes,clip_text,hr_at_5,0.125,0.08080808080808081,0.1717171717171717,200,192
category,shoes,clip_text,hr_at_10,0.19,0.13930348258706468,0.2436548223350254,200,192
category,shoes,clip_text,ndcg_at_1,0.035,0.01015228426395939,0.06187932665969387,200,192
category,shoes,clip_text,ndcg_at_5,0.07775093733904201,0.048758376051536746,0.1099792694019443,200,192
category,shoes,clip_text,ndcg_at_10,0.09840888569678206,0.06770660687922121,0.1314997722748285,200,192
category,shoes,clip_text,mrr,0.09537253510036171,0.06997511407420666,0.12540873120439802,200,192
category,tops,clip_text,hr_at_1,0.045,0.019801980198019802,0.07575757575757576,200,192
category,tops,clip_text,hr_at_5,0.115,0.07425742574257425,0.16,200,192
category,tops,clip_text,hr_at_10,0.165,0.11556344221105534,0.22110552763819097,200,192
category,tops,clip_text,ndcg_at_1,0.045,0.019801980198019802,0.07537688442211055,200,192
category,tops,clip_text,ndcg_at_5,0.07984294989963939,0.049280578219003245,0.11372203440126122,200,192
category,tops,clip_text,ndcg_at_10,0.09548854969850115,0.06415842482724317,0.13076149717380334,200,192
category,tops,clip_text,mrr,0.09775001416386585,0.0702985348797478,0.12898167250209253,200,192
category_macro,all,clip_text,hr_at_1,0.033999999999999996,0.022799727124168466,0.045482001145231064,1000,734
category_macro,all,clip_text,hr_at_5,0.10600000000000001,0.08616958044371527,0.12664609794827214,1000,734
category_macro,all,clip_text,hr_at_10,0.17099999999999999,0.14703559898160315,0.1955395326006311,1000,734
category_macro,all,clip_text,ndcg_at_1,0.033999999999999996,0.022799727124168466,0.045482001145231064,1000,734
category_macro,all,clip_text,ndcg_at_5,0.06838250498862102,0.054794171605233845,0.08276585826008083,1000,734
category_macro,all,clip_text,ndcg_at_10,0.08948003159065607,0.07554767416829392,0.1044642699027248,1000,734
category_macro,all,clip_text,mrr,0.09017736324490626,0.07788822499424852,0.10299365606478107,1000,734
micro,all,evidence_rerank_main_075_025,hr_at_1,0.039,0.027244520238599006,0.05141129032258065,1000,734
micro,all,evidence_rerank_main_075_025,hr_at_5,0.123,0.10187932739861523,0.14568880079286423,1000,734
micro,all,evidence_rerank_main_075_025,hr_at_10,0.211,0.18628380541294393,0.23684275728965623,1000,734
micro,all,evidence_rerank_main_075_025,ndcg_at_1,0.039,0.027634207821780426,0.051777159506766396,1000,734
micro,all,evidence_rerank_main_075_025,ndcg_at_5,0.08015311164925948,0.06472144013445559,0.09595356438082167,1000,734
micro,all,evidence_rerank_main_075_025,ndcg_at_10,0.10804132590206336,0.09252043041940157,0.12405641941720952,1000,734
micro,all,evidence_rerank_main_075_025,mrr,0.10406067213592768,0.090766897308542,0.11742578074605778,1000,734
category,bags,evidence_rerank_main_075_025,hr_at_1,0.03,0.009900990099009901,0.05612244897959184,200,186
category,bags,evidence_rerank_main_075_025,hr_at_5,0.095,0.05641025641025641,0.13541666666666666,200,186
category,bags,evidence_rerank_main_075_025,hr_at_10,0.21,0.15577889447236182,0.26699870229741407,200,186
category,bags,evidence_rerank_main_075_025,ndcg_at_1,0.03,0.009900990099009901,0.05555555555555555,200,186
category,bags,evidence_rerank_main_075_025,ndcg_at_5,0.06569607253646888,0.03846492843347787,0.096655233941813,200,186
category,bags,evidence_rerank_main_075_025,ndcg_at_10,0.10091443101534506,0.07096446918258191,0.13349950324784265,200,186
category,bags,evidence_rerank_main_075_025,mrr,0.09425458704635062,0.06991141378664938,0.12232560960127258,200,186
category,bottoms,evidence_rerank_main_075_025,hr_at_1,0.03,0.009900990099009901,0.05583756345177665,200,188
category,bottoms,evidence_rerank_main_075_025,hr_at_5,0.115,0.07215569653713987,0.16176470588235295,200,188
category,bottoms,evidence_rerank_main_075_025,hr_at_10,0.19,0.13725490196078433,0.2463333502615404,200,188
category,bottoms,evidence_rerank_main_075_025,ndcg_at_1,0.03,0.009900990099009901,0.05555555555555555,200,188
category,bottoms,evidence_rerank_main_075_025,ndcg_at_5,0.06991392531317281,0.04360460024943545,0.10016611647475365,200,188
category,bottoms,evidence_rerank_main_075_025,ndcg_at_10,0.09408315764097396,0.06502085799199206,0.12555567492300176,200,188
category,bottoms,evidence_rerank_main_075_025,mrr,0.09572565737743485,0.07134669107697655,0.12345611000315072,200,188
category,outerwear,evidence_rerank_main_075_025,hr_at_1,0.035,0.014492753623188406,0.06282722513089005,200,179
category,outerwear,evidence_rerank_main_075_025,hr_at_5,0.125,0.08040201005025126,0.17225292855964358,200,179
category,outerwear,evidence_rerank_main_075_025,hr_at_10,0.225,0.16666666666666666,0.2864321608040201,200,179
category,outerwear,evidence_rerank_main_075_025,ndcg_at_1,0.035,0.01020408163265306,0.06217678558147605,200,179
category,outerwear,evidence_rerank_main_075_025,ndcg_at_5,0.07928166562781691,0.049663547847475405,0.11232280285120651,200,179
category,outerwear,evidence_rerank_main_075_025,ndcg_at_10,0.11105213286599325,0.07974222217405917,0.1435381281033712,200,179
category,outerwear,evidence_rerank_main_075_025,mrr,0.10212201564140365,0.07727745579534413,0.13043942212396434,200,179
category,shoes,evidence_rerank_main_075_025,hr_at_1,0.06,0.029850746268656716,0.0945273631840796,200,192
category,shoes,evidence_rerank_main_075_025,hr_at_5,0.165,0.11442786069651742,0.2182741116751269,200,192
category,shoes,evidence_rerank_main_075_025,hr_at_10,0.23,0.17258883248730963,0.2914572864321608,200,192
category,shoes,evidence_rerank_main_075_025,ndcg_at_1,0.06,0.029996268656716434,0.095,200,192
category,shoes,evidence_rerank_main_075_025,ndcg_at_5,0.10964176853594171,0.07357719179686537,0.1505951419445097,200,192
category,shoes,evidence_rerank_main_075_025,ndcg_at_10,0.13105520035973364,0.09350439425931738,0.1709039390196394,200,192
category,shoes,evidence_rerank_main_075_025,mrr,0.1268797339472901,0.09406622120021964,0.1627891033783761,200,192
category,tops,evidence_rerank_main_075_025,hr_at_1,0.04,0.015,0.06931555095808076,200,192
category,tops,evidence_rerank_main_075_025,hr_at_5,0.115,0.07316185176414874,0.16099162355259894,200,192
category,tops,evidence_rerank_main_075_025,hr_at_10,0.2,0.1457286432160804,0.25512545597949293,200,192
category,tops,evidence_rerank_main_075_025,ndcg_at_1,0.04,0.015,0.06965174129353234,200,192
category,tops,evidence_rerank_main_075_025,ndcg_at_5,0.07623212623289702,0.04697383576727377,0.10967217777441872,200,192
category,tops,evidence_rerank_main_075_025,ndcg_at_10,0.10310170762827099,0.07164743012460824,0.13682510282722624,200,192
category,tops,evidence_rerank_main_075_025,mrr,0.10132136666715916,0.07500359783239043,0.13133959084506996,200,192
category_macro,all,evidence_rerank_main_075_025,hr_at_1,0.039,0.027325744903512996,0.051430677311630875,1000,734
category_macro,all,evidence_rerank_main_075_025,hr_at_5,0.123,0.1017419270506762,0.14468827726567474,1000,734
category_macro,all,evidence_rerank_main_075_025,hr_at_10,0.211,0.18508071786210914,0.23722565261488568,1000,734
category_macro,all,evidence_rerank_main_075_025,ndcg_at_1,0.039,0.027325744903512996,0.051430677311630875,1000,734
category_macro,all,evidence_rerank_main_075_025,ndcg_at_5,0.08015311164925946,0.06564190125049775,0.09555874130662387,1000,734
category_macro,all,evidence_rerank_main_075_025,ndcg_at_10,0.10804132590206336,0.09285273793512437,0.12379991910098458,1000,734
category_macro,all,evidence_rerank_main_075_025,mrr,0.10406067213592769,0.09123112442493003,0.11770065663468607,1000,734
micro,all,fused_clip_main_040_060,hr_at_1,0.038,0.026290140917177563,0.050353537012048755,1000,734
micro,all,fused_clip_main_040_060,hr_at_5,0.126,0.10468594217347957,0.14807502467917077,1000,734
micro,all,fused_clip_main_040_060,hr_at_10,0.208,0.18253768241167434,0.23470517550583495,1000,734
micro,all,fused_clip_main_040_060,ndcg_at_1,0.038,0.026342427162873452,0.05055709531031825,1000,734
micro,all,fused_clip_main_040_060,ndcg_at_5,0.0803619191966154,0.0651830042179555,0.09587619472994327,1000,734
micro,all,fused_clip_main_040_060,ndcg_at_10,0.1064249417031118,0.09116373233512508,0.12199938705259765,1000,734
micro,all,fused_clip_main_040_060,mrr,0.10258263185871735,0.08968516881809116,0.11588316613462524,1000,734
category,bags,fused_clip_main_040_060,hr_at_1,0.045,0.019704433497536946,0.07462686567164178,200,186
category,bags,fused_clip_main_040_060,hr_at_5,0.12,0.07692307692307693,0.16666666666666666,200,186
category,bags,fused_clip_main_040_060,hr_at_10,0.19,0.138452380952381,0.24242799279927987,200,186
category,bags,fused_clip_main_040_060,ndcg_at_1,0.045,0.019801980198019802,0.075,200,186
category,bags,fused_clip_main_040_060,ndcg_at_5,0.08071819941053614,0.04903573817777106,0.11513903050488726,200,186
category,bags,fused_clip_main_040_060,ndcg_at_10,0.10274910732499815,0.07206042688610141,0.13739480995328918,200,186
category,bags,fused_clip_main_040_060,mrr,0.10314119800297519,0.0764386276824714,0.13310775190576024,200,186
category,bottoms,fused_clip_main_040_060,hr_at_1,0.025,0.005050505050505051,0.04878646580583444,200,188
category,bottoms,fused_clip_main_040_060,hr_at_5,0.115,0.07317073170731707,0.15942028985507245,200,188
category,bottoms,fused_clip_main_040_060,hr_at_10,0.205,0.15228426395939088,0.26153846153846155,200,188
category,bottoms,fused_clip_main_040_060,ndcg_at_1,0.025,0.005050505050505051,0.04878048780487805,200,188
category,bottoms,fused_clip_main_040_060,ndcg_at_5,0.06650157213971247,0.04014871176799587,0.09557553150954363,200,188
category,bottoms,fused_clip_main_040_060,ndcg_at_10,0.09473229630039032,0.06688385967996609,0.12426908046207201,200,188
category,bottoms,fused_clip_main_040_060,mrr,0.09203563527838182,0.06993343886190391,0.1178629495215756,200,188
category,outerwear,fused_clip_main_040_060,hr_at_1,0.035,0.010256410256410256,0.06250754830917864,200,179
category,outerwear,fused_clip_main_040_060,hr_at_5,0.12,0.07575757575757576,0.16585423650445036,200,179
category,outerwear,fused_clip_main_040_060,hr_at_10,0.22,0.1641025641025641,0.2797979274611398,200,179
category,outerwear,fused_clip_main_040_060,ndcg_at_1,0.035,0.01030795664816284,0.061224489795918366,200,179
category,outerwear,fused_clip_main_040_060,ndcg_at_5,0.07612701685995962,0.047284199648116365,0.10797292355659185,200,179
category,outerwear,fused_clip_main_040_060,ndcg_at_10,0.10789748409813596,0.0771699097302179,0.14079900119024288,200,179
category,outerwear,fused_clip_main_040_060,mrr,0.09990850300669538,0.07571290946343526,0.12853673060673423,200,179
category,shoes,fused_clip_main_040_060,hr_at_1,0.05,0.02040816326530612,0.08121827411167512,200,192
category,shoes,fused_clip_main_040_060,hr_at_5,0.165,0.11557788944723618,0.22060116760271928,200,192
category,shoes,fused_clip_main_040_060,hr_at_10,0.23,0.17258445650271312,0.28935659898477134,200,192
category,shoes,fused_clip_main_040_060,ndcg_at_1,0.05,0.02061591329632568,0.08164311878597577,200,192
category,shoes,fused_clip_main_040_060,ndcg_at_5,0.105296417303799,0.07053077186452293,0.14263341491986115,200,192
category,shoes,fused_clip_main_040_060,ndcg_at_10,0.12670984912759092,0.09207775142188432,0.16306358286060021,200,192
category,shoes,fused_clip_main_040_060,mrr,0.1210703126177827,0.09118166264659894,0.1534536592257777,200,192
category,tops,fused_clip_main_040_060,hr_at_1,0.035,0.01020408163265306,0.06123233908948183,200,192
category,tops,fused_clip_main_040_060,hr_at_5,0.11,0.07,0.15422885572139303,200,192
category,tops,fused_clip_main_040_060,hr_at_10,0.195,0.14139637581848644,0.2536603567528212,200,192
category,tops,fused_clip_main_040_060,ndcg_at_1,0.035,0.010101010101010102,0.061224489795918366,200,192
category,tops,fused_clip_main_040_060,ndcg_at_5,0.07316639026906972,0.043983827508016465,0.10489749537949229,200,192
category,tops,fused_clip_main_040_060,ndcg_at_10,0.10003597166444371,0.06997510723035721,0.13279894212345747,200,192
category,tops,fused_clip_main_040_060,mrr,0.09675751038775168,0.07134193243858675,0.12473024729797466,200,192
category_macro,all,fused_clip_main_040_060,hr_at_1,0.038000000000000006,0.026585939690015773,0.05016047498702786,1000,734
category_macro,all,fused_clip_main_040_060,hr_at_5,0.126,0.10544348627211705,0.14794872568316145,1000,734
category_macro,all,fused_clip_main_040_060,hr_at_10,0.20800000000000002,0.18237636195629617,0.23363809295631605,1000,734
category_macro,all,fused_clip_main_040_060,ndcg_at_1,0.038000000000000006,0.026585939690015773,0.05016047498702786,1000,734
category_macro,all,fused_clip_main_040_060,ndcg_at_5,0.0803619191966154,0.06631597487710808,0.0956245151041822,1000,734
category_macro,all,fused_clip_main_040_060,ndcg_at_10,0.10642494170311181,0.09155222690542608,0.12186547310645923,1000,734
category_macro,all,fused_clip_main_040_060,mrr,0.10258263185871737,0.08997841292118715,0.11595182070435618,1000,734
micro,all,qwen3_embedding_text,hr_at_1,0.027,0.01664952900142942,0.03909533738573178,1000,734
micro,all,qwen3_embedding_text,hr_at_5,0.086,0.06769230769230769,0.10526445296311643,1000,734
micro,all,qwen3_embedding_text,hr_at_10,0.138,0.11507916302977403,0.16161874631680156,1000,734
micro,all,qwen3_embedding_text,ndcg_at_1,0.027,0.016426683514979206,0.038894973495453795,1000,734
micro,all,qwen3_embedding_text,ndcg_at_5,0.05489246519547791,0.041894858546127796,0.06907583388882346,1000,734
micro,all,qwen3_embedding_text,ndcg_at_10,0.07113172138625569,0.0574389478894789,0.08584451964850766,1000,734
micro,all,qwen3_embedding_text,mrr,0.07541855760644146,0.06354469938516995,0.08839619870108627,1000,734
category,bags,qwen3_embedding_text,hr_at_1,0.015,0.0,0.035,200,186
category,bags,qwen3_embedding_text,hr_at_5,0.06,0.029850746268656716,0.095,200,186
category,bags,qwen3_embedding_text,hr_at_10,0.12,0.07575757575757576,0.16751269035532995,200,186
category,bags,qwen3_embedding_text,ndcg_at_1,0.015,0.0,0.03483022388059695,200,186
category,bags,qwen3_embedding_text,ndcg_at_5,0.03711479713895818,0.017118927761686147,0.06158251992775312,200,186
category,bags,qwen3_embedding_text,ndcg_at_10,0.055558606196204535,0.03258332909296763,0.08090886112732272,200,186
category,bags,qwen3_embedding_text,mrr,0.06075512216146242,0.04395912080967846,0.08118514749676481,200,186
category,bottoms,qwen3_embedding_text,hr_at_1,0.015,0.0,0.03482587064676617,200,188
category,bottoms,qwen3_embedding_text,hr_at_5,0.07,0.035175879396984924,0.10891089108910891,200,188
category,bottoms,qwen3_embedding_text,hr_at_10,0.115,0.0707070707070707,0.16410447761194027,200,188
category,bottoms,qwen3_embedding_text,ndcg_at_1,0.015,0.0,0.034482758620689655,200,188
category,bottoms,qwen3_embedding_text,ndcg_at_5,0.039083195134534864,0.019348182893006292,0.06257577101937614,200,188
category,bottoms,qwen3_embedding_text,ndcg_at_10,0.0529649268749858,0.031142024324541242,0.07734840197794625,200,188
category,bottoms,qwen3_embedding_text,mrr,0.06348271347579809,0.04479175999849668,0.08620412266793541,200,188
category,outerwear,qwen3_embedding_text,hr_at_1,0.035,0.01,0.06735751295336788,200,179
category,outerwear,qwen3_embedding_text,hr_at_5,0.08,0.04040404040404041,0.12376237623762376,200,179
category,outerwear,qwen3_embedding_text,hr_at_10,0.13,0.08080808080808081,0.18275179675327924,200,179
category,outerwear,qwen3_embedding_text,ndcg_at_1,0.035,0.009950248756218905,0.06730893782383418,200,179
category,outerwear,qwen3_embedding_text,ndcg_at_5,0.055417589247476313,0.027459877494389485,0.08934419328782134,200,179
category,outerwear,qwen3_embedding_text,ndcg_at_10,0.07188298780899256,0.04100465826435274,0.10849761157840533,200,179
category,outerwear,qwen3_embedding_text,mrr,0.07712539116405509,0.05086414338617392,0.10862422921037199,200,179
category,shoes,qwen3_embedding_text,hr_at_1,0.04,0.015,0.07035175879396985,200,192
category,shoes,qwen3_embedding_text,hr_at_5,0.11,0.06930693069306931,0.15656565656565657,200,192
category,shoes,qwen3_embedding_text,hr_at_10,0.155,0.10659101498320217,0.20689655172413793,200,192
category,shoes,qwen3_embedding_text,ndcg_at_1,0.04,0.01507537688442211,0.06965174129353234,200,192
category,shoes,qwen3_embedding_text,ndcg_at_5,0.07497044835507817,0.043749961115987716,0.10834366494648105,200,192
category,shoes,qwen3_embedding_text,ndcg_at_10,0.0889912464821591,0.05773604334402364,0.12191223775778405,200,192
category,shoes,qwen3_embedding_text,mrr,0.09054673833093857,0.06322775760535217,0.12109358460702875,200,192
category,tops,qwen3_embedding_text,hr_at_1,0.03,0.009900990099009901,0.055,200,192
category,tops,qwen3_embedding_text,hr_at_5,0.11,0.06598984771573604,0.15656565656565657,200,192
category,tops,qwen3_embedding_text,hr_at_10,0.17,0.116745108668868,0.22564102564102564,200,192
category,tops,qwen3_embedding_text,ndcg_at_1,0.03,0.009950248756218905,0.05472636815920398,200,192
category,tops,qwen3_embedding_text,ndcg_at_5,0.06787629610134205,0.039671549052591876,0.09939570644269821,200,192
category,tops,qwen3_embedding_text,ndcg_at_10,0.08626083956893643,0.056516874913800697,0.11878311792750451,200,192
category,tops,qwen3_embedding_text,mrr,0.08518282289995312,0.06119273573542512,0.11348472394364814,200,192
category_macro,all,qwen3_embedding_text,hr_at_1,0.027000000000000003,0.016644822683798095,0.038889326569786206,1000,734
category_macro,all,qwen3_embedding_text,hr_at_5,0.086,0.06751871009950142,0.10623161120249075,1000,734
category_macro,all,qwen3_embedding_text,hr_at_10,0.138,0.1143668299558559,0.1622679370761891,1000,734
category_macro,all,qwen3_embedding_text,ndcg_at_1,0.027000000000000003,0.016644822683798095,0.038889326569786206,1000,734
category_macro,all,qwen3_embedding_text,ndcg_at_5,0.05489246519547791,0.042280595482989305,0.06900191917809505,1000,734
category_macro,all,qwen3_embedding_text,ndcg_at_10,0.07113172138625569,0.057344261242945636,0.0860249560661082,1000,734
category_macro,all,qwen3_embedding_text,mrr,0.07541855760644146,0.06384419298097894,0.08829199526492643,1000,734
