aggregation,category,method,metric,estimate,ci_lower,ci_upper,cases,query_outfits
micro,all,clip_image,hr_at_1,0.032,0.02119071644803229,0.04390243902439024,1000,734
micro,all,clip_image,hr_at_5,0.126,0.10557643796672607,0.14724064693804786,1000,734
micro,all,clip_image,hr_at_10,0.22,0.1942226023442462,0.24554499384849726,1000,734
micro,all,clip_image,ndcg_at_1,0.032,0.02119071644803229,0.04395714285714285,1000,734
micro,all,clip_image,ndcg_at_5,0.07784470336437758,0.06438507923685884,0.09229650748580856,1000,734
micro,all,clip_image,ndcg_at_10,0.10824861402869768,0.09323766336326404,0.1236249354986077,1000,734
micro,all,clip_image,mrr,0.09960057283269612,0.08756744950097327,0.11167446428975367,1000,734
category,bags,clip_image,hr_at_1,0.04,0.01507537688442211,0.06896551724137931,200,186
category,bags,clip_image,hr_at_5,0.125,0.0784313725490196,0.17676767676767677,200,186
category,bags,clip_image,hr_at_10,0.22,0.1609713200147077,0.2815533980582524,200,186
category,bags,clip_image,ndcg_at_1,0.04,0.015,0.07000879396984913,200,186
category,bags,clip_image,ndcg_at_5,0.0805954148555363,0.04789396057836801,0.11698790346096438,200,186
category,bags,clip_image,ndcg_at_10,0.1117113033951066,0.07754901075051444,0.1496791087647267,200,186
category,bags,clip_image,mrr,0.10253361604718574,0.07461210103145378,0.1351090139804323,200,186
category,bottoms,clip_image,hr_at_1,0.03,0.009900990099009901,0.05612244897959184,200,188
category,bottoms,clip_image,hr_at_5,0.105,0.06435643564356436,0.1477832512315271,200,188
category,bottoms,clip_image,hr_at_10,0.2,0.145,0.25888324873096447,200,188
category,bottoms,clip_image,ndcg_at_1,0.03,0.009900990099009901,0.05555555555555555,200,188
category,bottoms,clip_image,ndcg_at_5,0.0669284998881566,0.03900640340393533,0.09785441971802393,200,188
category,bottoms,clip_image,ndcg_at_10,0.09744144615908397,0.06875342763403687,0.13050414677674024,200,188
category,bottoms,clip_image,mrr,0.09389174913264899,0.06991751708493596,0.12122389540115225,200,188
category,outerwear,clip_image,hr_at_1,0.025,0.005050505050505051,0.04950495049504951,200,179
category,outerwear,clip_image,hr_at_5,0.145,0.09803668890236508,0.19487179487179487,200,179
category,outerwear,clip_image,hr_at_10,0.25,0.19170984455958548,0.3122027439024389,200,179
category,outerwear,clip_image,ndcg_at_1,0.025,0.005025125628140704,0.049019607843137254,200,179
category,outerwear,clip_image,ndcg_at_5,0.08485198390612635,0.055857542336501594,0.11660903877439026,200,179
category,outerwear,clip_image,ndcg_at_10,0.117983292530846,0.08746309525997288,0.1499485277796512,200,179
category,outerwear,clip_image,mrr,0.10509110485575049,0.0808699252614906,0.13178531340995905,200,179
category,shoes,clip_image,hr_at_1,0.03,0.009900990099009901,0.05527638190954774,200,192
category,shoes,clip_image,hr_at_5,0.11,0.06862745098039216,0.15577889447236182,200,192
category,shoes,clip_image,hr_at_10,0.185,0.1336551155115512,0.23979591836734693,200,192
category,shoes,clip_image,ndcg_at_1,0.03,0.009900990099009901,0.05527638190954774,200,192
category,shoes,clip_image,ndcg_at_5,0.06966241679685392,0.041998862504074426,0.10059163120252977,200,192
category,shoes,clip_image,ndcg_at_10,0.0944812231216303,0.0640219865662664,0.12631047983546043,200,192
category,shoes,clip_image,mrr,0.09300194574774061,0.06939824507915407,0.11989247061698424,200,192
category,tops,clip_image,hr_at_1,0.035,0.014186303387334745,0.06342240554758477,200,192
category,tops,clip_image,hr_at_5,0.145,0.09900990099009901,0.19597989949748743,200,192
category,tops,clip_image,hr_at_10,0.245,0.18686868686868688,0.30612244897959184,200,192
category,tops,clip_image,ndcg_at_1,0.035,0.01015228426395939,0.061224489795918366,200,192
category,tops,clip_image,ndcg_at_5,0.08718520137521474,0.056372983693305664,0.12137644905747243,200,192
category,tops,clip_image,ndcg_at_10,0.11962580493682155,0.08769319819131342,0.15646772311136367,200,192
category,tops,clip_image,mrr,0.10348444838015478,0.07680025077078198,0.13317894328648394,200,192
category_macro,all,clip_image,hr_at_1,0.032,0.021177535496298014,0.04391342484139071,1000,734
category_macro,all,clip_image,hr_at_5,0.126,0.10573572421834737,0.14763177305010758,1000,734
category_macro,all,clip_image,hr_at_10,0.22000000000000003,0.19381791775591578,0.24806690384198207,1000,734
category_macro,all,clip_image,ndcg_at_1,0.032,0.021177535496298014,0.04391342484139071,1000,734
category_macro,all,clip_image,ndcg_at_5,0.07784470336437758,0.06412501431896851,0.09266943178699576,1000,734
category_macro,all,clip_image,ndcg_at_10,0.10824861402869768,0.09341143689875943,0.12373740782902647,1000,734
category_macro,all,clip_image,mrr,0.09960057283269613,0.08766042482538043,0.11266900586120714,1000,734
micro,all,clip_text,hr_at_1,0.034,0.02316155239594668,0.04592964446826659,1000,734
micro,all,clip_text,hr_at_5,0.106,0.08632321879600409,0.12674685839588426,1000,734
micro,all,clip_text,hr_at_10,0.171,0.14641377787817803,0.19703006877042384,1000,734
micro,all,clip_text,ndcg_at_1,0.034,0.022840119165839126,0.045772283998335,1000,734
micro,all,clip_text,ndcg_at_5,0.068382504988621,0.054897108155481,0.08291108536623172,1000,734
micro,all,clip_text,ndcg_at_10,0.08948003159065608,0.07509535619406715,0.10482437338117426,1000,734
micro,all,clip_text,mrr,0.09017736324490626,0.07792956695419713,0.10358696119632049,1000,734
category,bags,clip_text,hr_at_1,0.035,0.01020408163265306,0.06153846153846154,200,186
category,bags,clip_text,hr_at_5,0.075,0.04,0.11274509803921569,200,186
category,bags,clip_text,hr_at_10,0.145,0.1,0.1951219512195122,200,186
