scope,scope_value,metric,paired_cases,estimate,ci_lower,ci_upper,p_value,holm_p_value
overall,all,trace_support_rate,498,0.21016210498481688,0.1971891373674823,0.2237434018287036,0.0003999200159968006,0.0015996800639872025
overall,all,full_kb_support_rate,498,0.2140414604203972,0.20112300295140206,0.22708061847101557,0.0003999200159968006,0.0015996800639872025
overall,all,unsupported_item_fact_rate,53,0.006289308176100628,-0.050314465408805034,0.05660377358490566,0.9042191561687662,0.9042191561687662
overall,all,trace_supported_claims_per_100_words,498,1.5975608742682565,1.4767226583516986,1.7209125074576592,0.0003999200159968006,0.0015996800639872025
generator,gemma4:12b,trace_support_rate,474,0.2509398155758915,0.2292168064003507,0.2729710827001175,0.0003999200159968006,
generator,gemma4:12b,full_kb_support_rate,474,0.25217047661667913,0.2300900610611845,0.2744027754945477,0.0003999200159968006,
generator,gemma4:12b,unsupported_item_fact_rate,11,0.0,0.0,0.0,1.0,
generator,gemma4:12b,trace_supported_claims_per_100_words,474,1.7851790997788808,1.6027458389189664,1.9685708173081116,0.0003999200159968006,
generator,llama3.1:8b-instruct-q8_0,trace_support_rate,438,0.2674083051651545,0.2455490457823506,0.29000784508489985,0.0003999200159968006,
generator,llama3.1:8b-instruct-q8_0,full_kb_support_rate,438,0.27257971924067814,0.2502063247033281,0.2949304701038434,0.0003999200159968006,
generator,llama3.1:8b-instruct-q8_0,unsupported_item_fact_rate,21,0.047619047619047616,0.0,0.14285714285714285,0.7090581883623275,
generator,llama3.1:8b-instruct-q8_0,trace_supported_claims_per_100_words,438,1.9068200840703566,1.726734515682529,2.0910540377690054,0.0003999200159968006,
generator,ministral-3:14b-instruct-2512-q4_K_M,trace_support_rate,456,0.11351182401649854,0.09563255306254352,0.13240482693347996,0.0003999200159968006,
generator,ministral-3:14b-instruct-2512-q4_K_M,full_kb_support_rate,456,0.11773271277686097,0.09973057448332294,0.13656630155602195,0.0003999200159968006,
generator,ministral-3:14b-instruct-2512-q4_K_M,unsupported_item_fact_rate,28,-0.02380952380952381,-0.10714285714285714,0.03571428571428571,0.7770445910817837,
generator,ministral-3:14b-instruct-2512-q4_K_M,trace_supported_claims_per_100_words,456,1.1286033490412744,0.9156716009327783,1.344636283940607,0.0003999200159968006,
category,bags,trace_support_rate,100,0.21561385373885378,0.18325848514911014,0.24849171361046357,0.0003999200159968006,
category,bags,full_kb_support_rate,100,0.21873198560698562,0.18602588233525733,0.25069773178210675,0.0003999200159968006,
category,bags,unsupported_item_fact_rate,8,0.0,0.0,0.0,1.0,
category,bags,trace_supported_claims_per_100_words,100,1.7460512957844245,1.4423511537590255,2.0799016347671917,0.0003999200159968006,
category,bottoms,trace_support_rate,99,0.20571567415001757,0.1781545477063154,0.23538168633181258,0.0003999200159968006,
category,bottoms,full_kb_support_rate,99,0.21214103890871566,0.18289219607085772,0.24019410817390613,0.0003999200159968006,
category,bottoms,unsupported_item_fact_rate,6,0.0,0.0,0.0,1.0,
category,bottoms,trace_supported_claims_per_100_words,99,1.4175085741932167,1.1601208358014472,1.6955565586975985,0.0003999200159968006,
category,outerwear,trace_support_rate,100,0.2233204539125592,0.1936733474310777,0.2530169399192425,0.0003999200159968006,
category,outerwear,full_kb_support_rate,100,0.22787600946811476,0.19969144475772768,0.2576871780144806,0.0003999200159968006,
category,outerwear,unsupported_item_fact_rate,14,0.023809523809523808,0.0,0.07142857142857142,0.6950609878024395,
category,outerwear,trace_supported_claims_per_100_words,100,1.7627039323563742,1.4945811201909966,2.0374691194448813,0.0003999200159968006,
category,shoes,trace_support_rate,100,0.21313329725829727,0.18290543079605578,0.24285009793447293,0.0003999200159968006,
category,shoes,full_kb_support_rate,100,0.21810022847522847,0.18977811574999082,0.24730503547378543,0.0003999200159968006,
category,shoes,unsupported_item_fact_rate,12,-0.08333333333333333,-0.25,0.0,0.6970605878824235,
category,shoes,trace_supported_claims_per_100_words,100,1.5670535969391377,1.3147873063375928,1.819713069960674,0.0003999200159968006,
category,tops,trace_support_rate,99,0.19280925303652577,0.16584679081206857,0.22040191115001723,0.0003999200159968006,
category,tops,full_kb_support_rate,99,0.19312992002385942,0.16624179739078726,0.22061196986702036,0.0003999200159968006,
category,tops,unsupported_item_fact_rate,13,0.07692307692307693,0.0,0.23076923076923078,0.7206558688262348,
category,tops,trace_supported_claims_per_100_words,99,1.4916271114390873,1.2537753192119077,1.7291033409955987,0.0003999200159968006,
