reference_method,comparison_method,metric,mean_paired_difference,ci_lower,ci_upper,p_value,cases,bootstrap_unit,holm_adjusted_p_value,reject_at_0_05
fused_clip_main_040_060,qwen3_embedding_text,hr_at_1,0.011,-0.0029821815376398324,0.025158977971555294,0.14477104579084182,1000,query_outfit,1.0,False
fused_clip_main_040_060,qwen3_embedding_text,hr_at_5,0.04,0.015074620847467027,0.0654590934193312,0.0027994401119776045,1000,query_outfit,0.0587882423515297,False
fused_clip_main_040_060,qwen3_embedding_text,hr_at_10,0.07,0.03879557452825374,0.10100025252525253,0.0003999200159968006,1000,query_outfit,0.011197760447910418,True
fused_clip_main_040_060,qwen3_embedding_text,ndcg_at_1,0.011,-0.0029586528969549695,0.02494802494802495,0.13917216556688664,1000,query_outfit,1.0,False
fused_clip_main_040_060,qwen3_embedding_text,ndcg_at_5,0.025469454001137478,0.008523593982028413,0.04180397387567923,0.0011997600479904018,1000,query_outfit,0.027594481103779243,True
fused_clip_main_040_060,qwen3_embedding_text,ndcg_at_10,0.035293220316856125,0.018474212693299796,0.05271797084224803,0.0003999200159968006,1000,query_outfit,0.011197760447910418,True
fused_clip_main_040_060,qwen3_embedding_text,mrr,0.027164074252275894,0.012906783472503772,0.041729377227927626,0.0003999200159968006,1000,query_outfit,0.011197760447910418,True
fused_clip_main_040_060,clip_image,hr_at_1,0.006,-0.00907280951954689,0.020492328709541815,0.4611077784443111,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_image,hr_at_5,0.0,-0.02629080612924717,0.026423959827833556,1.0,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_image,hr_at_10,-0.012,-0.04249061864908547,0.019349528170502586,0.47790441911617676,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_image,ndcg_at_1,0.006,-0.008205338809034906,0.021021547599703906,0.4455108978204359,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_image,ndcg_at_5,0.002517215832237815,-0.01512521658350927,0.019987378338241126,0.7698460307938413,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_image,ndcg_at_10,-0.0018236723255858713,-0.019462849987848155,0.016375402867207175,0.8638272345530894,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_image,mrr,0.0029820590260212347,-0.0118591335615244,0.0179515272154332,0.714257148570286,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_text,hr_at_1,0.004,-0.004136934197145467,0.012795590745122373,0.4539092181563687,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_text,hr_at_5,0.02,0.003054989816700611,0.03641732283464567,0.026394721055788842,1000,query_outfit,0.501499700059988,False
fused_clip_main_040_060,clip_text,hr_at_10,0.037,0.01782178217821782,0.05759775103095318,0.0003999200159968006,1000,query_outfit,0.011197760447910418,True
fused_clip_main_040_060,clip_text,ndcg_at_1,0.004,-0.0041238177311076355,0.012732927157150808,0.4327134573085383,1000,query_outfit,1.0,False
fused_clip_main_040_060,clip_text,ndcg_at_5,0.011979414207994372,0.0023839353160213118,0.021696190475035296,0.011197760447910418,1000,query_outfit,0.22395520895820836,False
fused_clip_main_040_060,clip_text,ndcg_at_10,0.016944910112455726,0.007767480888942823,0.026264352252534255,0.0003999200159968006,1000,query_outfit,0.011197760447910418,True
fused_clip_main_040_060,clip_text,mrr,0.012405268613811086,0.005031058357379477,0.01981168693747363,0.0015996800639872025,1000,query_outfit,0.03519296140771846,True
fused_clip_main_040_060,evidence_rerank_main_075_025,hr_at_1,-0.001,-0.006153846153846154,0.004044591723533769,0.8418316336732653,1000,query_outfit,1.0,False
fused_clip_main_040_060,evidence_rerank_main_075_025,hr_at_5,0.003,-0.00474554518010128,0.010794896957801767,0.5306938612277544,1000,query_outfit,1.0,False
fused_clip_main_040_060,evidence_rerank_main_075_025,hr_at_10,-0.003,-0.011616931943537674,0.0051023016568590585,0.5610877824435113,1000,query_outfit,1.0,False
fused_clip_main_040_060,evidence_rerank_main_075_025,ndcg_at_1,-0.001,-0.006191950464396285,0.004012036108324975,0.8262347530493901,1000,query_outfit,1.0,False
fused_clip_main_040_060,evidence_rerank_main_075_025,ndcg_at_5,0.00020880754735592811,-0.004238827100129964,0.004717311238239783,0.9266146770645871,1000,query_outfit,1.0,False
fused_clip_main_040_060,evidence_rerank_main_075_025,ndcg_at_10,-0.0016163841989515655,-0.005729078480782011,0.0024750972996867376,0.4451109778044391,1000,query_outfit,1.0,False
fused_clip_main_040_060,evidence_rerank_main_075_025,mrr,-0.0014780402772103251,-0.005635604083284814,0.0025744666858645866,0.45910817836432716,1000,query_outfit,1.0,False
